,Product,Review
0,deskjet,Good product
1,deskjet,Best quality
2,deskjet,Good
3,deskjet,Good
4,deskjet,Super product
5,deskjet,Excellent
6,deskjet,Nice but when you don't uses the printer the ink dry in cartridges
7,deskjet,Very poor product no buy this ink waste money
8,deskjet,Good quality
9,deskjet,Very nice
