Unnamed: 0,Product,Review,Sentiments
0,deskjet,Good product,Positive
1,deskjet,Best quality,Positive
2,deskjet,Good,Positive
3,deskjet,Good,Positive
4,deskjet,Super product,Positive
5,deskjet,Excellent,Neutral
6,deskjet,Nice but when you don't uses the printer the ink dry in cartridges,Neutral
7,deskjet,Very poor product no buy this ink waste money,Negative
8,deskjet,Good quality,Positive
9,deskjet,Very nice,Positive
